,OD,Plein Tarif Loisir 2nde,1ère classe,dist
1453,DUNKERQUE-LYON PERRACHE,116.0,154.0,
1454,DUNKERQUE-LYON ST EXUPERY,116.0,154.0,
1455,DUNKERQUE-MARNE LA VALLEE CHESSY,66.0,85.0,
1456,DUNKERQUE-MODANE,127.0,167.0,
1457,DUNKERQUE-MOUTIERS SALINS BRIDES,127.0,167.0,
1458,DUNKERQUE-PARIS NORD,66.0,85.0,
1459,DUNKERQUE-SALLANCHES COMBLOUX MEGEVE,127.0,167.0,
1460,DUNKERQUE-ST AVRE LA CHAMBRE,127.0,167.0,
1461,DUNKERQUE-ST GERVAIS LES BAINS LE FAYET,127.0,167.0,
1462,DUNKERQUE-ST JEAN DE MAURIENNE ARVAN,127.0,167.0,
1463,DUNKERQUE-ST MICHEL VALLOIRE,127.0,167.0,
