,Id,degree,group
778,3320990566,20,1
779,14175364,20,1
780,2885635959,20,0
781,996874375583412224,20,0
782,790287205,20,0
783,6313372,20,1
784,13620662,20,1
785,304633491,20,1
786,1889851032,20,1
787,213244374,20,1
788,83155546,20,1
789,1933042237,20,2
790,16343659,20,1
791,19653322,20,1
792,14934821,20,1
793,18539631,20,2
794,2851202217,20,1
795,960259375,20,1
796,20112774,20,2
797,494855686,20,1
798,43313035,20,1
799,965142457,20,2
800,121432121,20,1
801,17197553,20,1
802,60163,20,1
803,16248319,20,2
804,838799040833810434,20,0
805,153252061,20,2
806,15202364,20,1
807,13465862,20,1
808,138377811,20,1
809,228686553,20,0
810,23788480,20,1
811,20675681,20,2
812,65174791,20,2
813,562331995,19,1
814,319619581,19,0
815,96600797,19,1
816,59868302,19,1
817,53150950,19,2
818,3384542643,19,1
819,844000056432713728,19,1
820,14190551,19,1
821,19827010,19,2
822,1227923469649743874,19,1
823,14257537,19,1
824,263425576,19,2
825,33853031,19,1
826,20582624,19,2
827,908367204,19,0
828,910849255581077504,19,1
829,1048192524500836352,19,1
830,1354570123,19,2
831,2857391,19,1
832,2570394258,19,2
833,1135977773951049734,19,1
834,3707214743,19,2
835,386538440,19,2
836,195075230,19,1
837,583900350,19,1
838,508829007,19,1
839,2180226900,19,1
840,1002471379214766080,19,1
841,52438419,19,1
842,20424111,19,1
843,232335155,19,0
844,25274342,19,1
845,14854533,19,1
846,39496081,19,0
847,268349503,19,1
848,1421411,19,1
849,59093441,19,2
850,765107071759048704,19,1
851,288961793,19,1
852,921306035029200896,19,0
853,16955235,19,1
854,91306115,19,1
855,310328097,19,1
856,149797759,19,2
857,211639555,19,0
858,2186755171,19,0
859,377372212,19,1
860,87703143,19,1
861,3297525491,19,2
862,8995822,19,1
863,358008035,19,1
864,1266325186632089600,19,1
865,35767916,19,2
866,1159467354461523968,19,1
867,8145762,19,1
868,21744811,19,1
869,281628104,19,0
870,909430459645546496,19,0
871,57888537,19,2
872,27840339,19,1
873,59297622,19,1
874,186732646,19,1
875,381203,19,1
876,31084980,19,1
877,2511321,19,1
878,167760471,19,2
879,258331364,19,1
880,167334894,19,1
881,3904362338,19,1
882,105273431,19,1
883,17128177,19,2
884,9919512,19,1
885,563240245,19,1
886,217472589,19,1
887,23322233,19,1
888,13492552,19,2
889,2527814234,19,0
890,222192426,19,1
891,1110458977647771649,19,1
892,40526875,19,1
893,85582880,19,1
894,255517813,19,1
895,169294853,19,2
896,2767054761,19,0
897,901703629,19,0
898,2919557183,19,1
899,1281419371,19,1
900,384231540,19,1
901,28207516,19,2
902,8186402,19,1
903,833332110723313664,19,1
904,53668731,19,1
905,1019565941015875585,19,0
906,91942071,19,2
907,952626600,19,2
908,21229198,19,1
909,59305661,19,0
910,247722171,19,2
911,21033209,19,1
912,406352339,19,1
913,716371218,19,1
914,2921068119,19,0
915,831257220,19,1
916,18643839,19,1
917,21658656,19,1
918,77802884,19,1
919,15629735,19,2
920,2866806469,19,1
921,68355165,18,1
922,68256895,18,0
923,935628484931653635,18,1
924,2881652057,18,1
925,90146161,18,0
926,63833580,18,1
927,17172028,18,0
928,20547328,18,1
929,22481275,18,1
930,1242631568,18,0
931,125702162,18,1
932,27267888,18,1
933,1118410450767683584,18,1
934,145954554,18,1
935,19667112,18,1
936,49125561,18,1
937,86153968,18,1
938,107977792,18,1
939,1338645654,18,1
940,378445071,18,1
